このプロジェクトは、ボタンを押すとメロディが鳴るインタラクティブな音楽装置です。
ボタンを押すとLEDが音に合わせて点灯・消灯します。Arduino Unoとボタン、LEDなどの簡単な部品で0.5秒以内に反応します。
LCDや表示機能はなく、ブザー音でメロディを生成します。

（AI用指示テンプレ）
この部品リストと要件定義に従い、「ボタン操作で音楽が流れ、
もう一度押すと停止する」シンプルな設計書をお願いします。
NG例：長押しやスマホ連携など本要件外の仕様は絶対に含めないこと。
疑問点があれば必ず確認してから設計してください7

チャタリングや非同期処理、回路構成図、PIN番号ブレットボードの配置




【音楽メモ】
Copilot said: 承知しました！ 「白鍵–黒鍵名」と「Arduino用周波数（Hz）」のみの2列で、A0～C8全88音をリストにします。 --- # 白鍵–黒鍵名 ＆ Arduino用周波数（Hz）一覧（A0～C8） | 白鍵–黒鍵名
承知しました！
「白鍵–黒鍵名」と「Arduino用周波数（Hz）」のみの2列で、A0～C8全88音をリストにします。

白鍵–黒鍵名 ＆ Arduino用周波数（Hz）一覧（A0～C8）
白鍵–黒鍵名	Arduino用周波数 (Hz)
ラ	28
ラ♯/シ♭	29
シ	31
ド	33
ド♯/レ♭	35
レ	37
レ♯/ミ♭	39
ミ	41
ファ	44
ファ♯/ソ♭	46
ソ	49
ソ♯/ラ♭	52
ラ	55
ラ♯/シ♭	58
シ	62
ド	65
ド♯/レ♭	69
レ	73
レ♯/ミ♭	78
ミ	82
ファ	87
ファ♯/ソ♭	93
ソ	98
ソ♯/ラ♭	104
ラ	110
ラ♯/シ♭	117
シ	123
ド	131
ド♯/レ♭	139
レ	147
レ♯/ミ♭	156
ミ	165
ファ	175
ファ♯/ソ♭	185
ソ	196
ソ♯/ラ♭	208
ラ	220
ラ♯/シ♭	233
シ	247
ド	262
ド♯/レ♭	277
レ	294
レ♯/ミ♭	311
ミ	330
ファ	349
ファ♯/ソ♭	370
ソ	392
ソ♯/ラ♭	415
ラ	440
ラ♯/シ♭	466
シ	494
ド	523
ド♯/レ♭	554
レ	587
レ♯/ミ♭	622
ミ	659
ファ	698
ファ♯/ソ♭	740
ソ	784
ソ♯/ラ♭	831
ラ	880
ラ♯/シ♭	932
シ	988
ド	1047
ド♯/レ♭	1109
レ	1175
レ♯/ミ♭	1245
ミ	1319
ファ	1397
ファ♯/ソ♭	1480
ソ	1568
ソ♯/ラ♭	1661
ラ	1760
ラ♯/シ♭	1865
シ	1976
ド	2093
ド♯/レ♭	2217
レ	2349
レ♯/ミ♭	2489
ミ	2637
ファ	2794
ファ♯/ソ♭	2960
ソ	3136
ソ♯/ラ♭	3322
ラ	3520
ラ♯/シ♭	3729
シ	3951
ド	4186
